X,F,G
"[3.7077984632127494, 1.4855351901986267, 2.4936395512868135]","[7.686973204698189, 52.11058704095501, 1.6641526791438692]","[-2.313026795301811, -5.933116145649146, -5.880960545351673, -5.909070002877567, -6.196944535386999, -6.104641136779214, -6.0222633511757095, -9.716229873612267, -9.509393909909585, -9.57194832729519, -9.882202889115238, -9.79402920034168, -9.60495320263487, -48.99566467571574, -47.790482875269404, -48.17617292225314, -49.55891800650157, -49.11578243438392, -48.289010393901755, -99.48171722525217, -61.217576922674475, -82.65010060899766, -98.49853193123197, -99.90617188742547, -99.99991812319232]"
"[0.8488103758964785, 1.0, 1.0]","[2.8488103758964787, 73.69042514208982, 29.75537713083042]","[-7.151189624103521, -4.882976356842429, -5.392178128316247, -5.205712131600061, -6.008112582153924, -5.784955344736288, -5.7331700743377105, -6.561110122189945, -7.626474009105705, -6.8610022869586365, -9.123120837094106, -8.558974798840028, -8.219754525448222, -8.647184333943187, -35.842071907826465, -40.779874213057894, -42.294269762237235, -45.79325232500876, -30.80248668344928, -94.12198301761856, -55.3033419364386, -81.98031591794947, -98.45704975201464, -99.85746610617349, -99.99932175671012]"
"[1.273779910480798, 1.0, 1.0160159650443943]","[3.2897958755251926, 60.19213232245547, 19.217955529745232]","[-6.710204124474807, -5.440227495900538, -5.417946379150348, -5.429763361572052, -6.103959046800981, -5.879098066672882, -5.7623172233781, -7.748275322997074, -7.812018726595346, -8.053866250606038, -9.468859955334873, -9.066144697992412, -8.409773145071007, -26.79956148019201, -29.198895241335265, -33.25467054133398, -45.489815286387085, -41.854539977474104, -33.28857996386247, -96.85607581991485, -57.15639747160087, -81.96970822453218, -98.45679897110654, -99.8828682033443, -99.99949981873326]"
"[0.7779938615586957, 1.0, 1.0]","[2.777993861558696, 80.0256568221636, 34.77406537719331]","[-7.222006138441304, -4.6950903692290655, -5.330793223873188, -5.069431310478626, -5.974284486801244, -5.722410964794171, -5.727651085293389, -6.068717606019117, -7.286691601382294, -6.2815362770869, -9.003730356673966, -8.295581698132306, -8.183284814830444, -1.98002775495317, -39.06237862102961, -38.423363990257315, -41.20309254939224, -44.7146335934404, -30.370009323799856, -91.98485859926308, -54.206749332126066, -81.95311346592234, -98.45547929819156, -99.84483517456793, -99.99925924112979]"
"[0.7927412247784722, 1.0, 1.0]","[2.792741224778472, 78.48310437770506, 33.5532521477987]","[-7.207258775221527, -4.738220523607496, -5.3531333509339145, -5.100787330638983, -5.982120773624965, -5.73679532201099, -5.728869310037035, -6.218501497066914, -7.370159271526736, -6.417803657069888, -9.031439452180976, -8.357624117944136, -8.191095386556162, -3.543214308606281, -38.29935560312538, -38.97637885945798, -41.45606392563087, -44.96782589439102, -30.46307595086934, -92.49605204455996, -54.476277745095004, -81.96272784451546, -98.45627075706403, -99.84788708321175, -99.9992738554231]"
"[1.208108800703683, 1.0, 1.4415039581930145]","[3.649612758896698, 58.02911631689999, 11.962970106742423]","[-6.350387241103302, -5.36185703258066, -5.655960986425082, -5.599019165877303, -6.069447265714893, -5.966262396190054, -5.817497135834389, -8.43550786924395, -8.738119792304882, -8.438845594331958, -9.44974471757971, -9.283417334628433, -8.770024220078525, -36.48726116522381, -42.738484501262775, -46.40363465062996, -46.28691060823486, -48.22578694651396, -40.55724862069878, -98.08721238460146, -59.52380862088846, -82.31751096746137, -98.47579606334885, -99.90152677848944, -99.99964790553368]"
"[0.8043431924968715, 1.0, 1.0]","[2.8043431924968716, 77.36074521284745, 32.66371674275232]","[-7.195656807503129, -4.770567866247253, -5.3697849101893205, -5.124272894619912, -5.987969116557291, -5.747576761927153, -5.729765561689543, -6.296514128124805, -7.430808567751157, -6.518676767157267, -9.052025689161363, -8.40356217401091, -8.197251350323164, -4.7030035592517265, -37.73612591916222, -39.38663886517261, -41.644799060990465, -45.15557817969952, -30.535153505054794, -92.87132108070466, -54.67175454329139, -81.96852503657931, -98.45668411549794, -99.85011588586711, -99.99928471411033]"
"[4.994895676878577, 1.69546603775175, 3.047941367424911]","[9.738303082055237, 52.0304397068319, 0.9186725423263129]","[-0.2616969179447626, -5.972364554512638, -5.946617468929625, -5.97049796573248, -6.212056671043281, -6.133907771181427, -6.0661111100854805, -9.820911047394672, -9.658630309341872, -9.699765934012106, -9.921513492346088, -9.855662757538528, -9.72705422411649, -49.53807676693243, -48.7238110292315, -48.92831549593887, -49.76061787167966, -49.48159657877592, -49.037709983748215, -99.65017742775082, -61.46180319187445, -82.71634908512286, -98.50246716743652, -99.907057712916, -99.99994679501198]"
"[1.0855142337326082, 1.0037881649064133, 1.0945850079115202]","[3.1838874065505416, 62.693911610696134, 19.241930750564542]","[-6.816112593449459, -5.265212073943866, -5.482095971312442, -5.4598197621673545, -6.069940956986091, -5.896459048439104, -5.77046734376159, -7.643972329294012, -8.197488073844935, -7.980946827742499, -9.369698352181516, -9.065824899343886, -8.44890975857218, -25.29874798426951, -34.88036346074725, -40.03679697171043, -44.8619698571228, -45.00919680181221, -34.714733147971856, -97.0265311765786, -57.529852531152464, -82.07574218057788, -98.46155111588862, -99.8829651586317, -99.99949544769444]"
"[0.8542990230792691, 1.0, 1.0]","[2.8542990230792693, 73.29701749230696, 29.444931191625077]","[-7.145700976920731, -4.895729550867758, -5.393951911573754, -5.214911537489239, -6.010381376794537, -5.78916141744994, -5.733573266571093, -6.59038819875499, -7.6468918434372535, -6.898728136436318, -9.131120678234494, -8.576133447623851, -8.222528676778005, -9.08479332550084, -35.63424053296487, -40.93401325259144, -42.36714475129392, -45.863799741938465, -30.834537000980454, -94.25840657742309, -55.369633914015566, -81.98089185545568, -98.45700340084387, -99.85825675469641, -99.99932587889577]"
"[1.8550805205197318, 1.1053900408336153, 2.0842929924550258]","[5.044763553808373, 53.00010955607913, 4.216915358228906]","[-4.955236446191627, -5.688776056684394, -5.803969335438323, -5.845729446845757, -6.124178410157909, -6.075458803779661, -5.903171581751951, -9.426916975879733, -9.291343194042586, -9.306550184755608, -9.69554689429664, -9.677911490420671, -9.242247642034194, -46.7035511306409, -46.392444316099926, -47.943223456624125, -48.504209371984864, -48.94411747205753, -45.8975477035182, -99.15690984051446, -60.81726376309105, -82.5240619872026, -98.48809329015216, -99.91020703166346, -99.99983788613163]"
"[0.8794547975472926, 1.0047555057722963, 1.0]","[2.884210303319589, 71.88588350270008, 28.076057823913633]","[-7.115789696680411, -4.9495925894289705, -5.400267859861246, -5.253256314483102, -6.020374941749089, -5.806751582754888, -5.736582121371126, -6.71525604235709, -7.733075384701715, -7.061232615291511, -9.168183813312748, -8.649600697011419, -8.242547383221353, -10.976976425232834, -34.8264344095019, -41.613242322064934, -42.71504020957832, -46.055697099961804, -31.068195407820443, -94.81012188949464, -55.602919179523056, -81.98378536061155, -98.45674275632973, -99.86123238716874, -99.99934432429282]"
"[2.6637134664007522, 1.317298809208368, 3.3325340059262327]","[7.313546281535353, 53.56149982058498, 1.3797748080237]","[-2.686453718464647, -5.8497731562400865, -5.942947785242859, -5.992169551275915, -6.150862137537663, -6.1462531543339525, -5.974816080146356, -9.726038645920658, -9.645241788444375, -9.676061580274144, -9.825767559869297, -9.849772345588251, -9.577246354065592, -49.35966755203946, -48.82534071434515, -49.43141221364075, -49.427799827663975, -49.69877044334059, -48.520498771708965, -99.68655320066996, -60.88448893976949, -82.71744343466477, -98.49939922783115, -99.9106215287671, -99.99992971589792]"
"[0.7896337646171725, 1.0, 1.0]","[2.7896337646171725, 78.79752958468976, 33.80185046938396]","[-7.2103662353828275, -4.729339487774134, -5.348525993966198, -5.094328118377458, -5.980505209439446, -5.733839862140863, -5.728612857595297, -6.196904082516912, -7.353198687695453, -6.389789395998497, -9.025727822465031, -8.34491785723855, -8.189465179020784, -3.222344647461739, -38.4556255462775, -38.862774492687564, -41.40400912270644, -44.91603027482082, -30.443601571063482, -92.39161708855359, -54.42143222188289, -81.96086093529047, -98.4561296150601, -99.84726568623444, -99.99927085366252]"
"[3.7243328344636644, 1.5268253988182594, 2.490738697601536]","[7.74189693088346, 52.13262386929681, 1.632925418914341]","[-2.2581030691165402, -5.937509649062343, -5.884343284632791, -5.91093690828909, -6.198780574854263, -6.105601969369875, -6.026257327440333, -9.711325519763726, -9.516611062785554, -9.576715497505589, -9.88562468371148, -9.796407753079121, -9.614965786461749, -48.96136015847224, -47.835102962133945, -48.20617788815104, -49.57357390241371, -49.130764529860116, -48.33326350625674, -99.48128129844643, -61.25112984400191, -82.65488280091745, -98.49884432214131, -99.905842128314, -99.99991823133915]"
"[2.252242176843617, 1.3475106917007802, 3.10376125194637]","[6.703514120490767, 53.02757081141386, 1.8445056141437348]","[-3.296485879509233, -5.785485223445613, -5.949319364027194, -5.935677885901185, -6.136229328109486, -6.121916673137703, -5.966488466075334, -9.617157354521602, -9.629242273439626, -9.561998611008336, -9.792746633646308, -9.800209744598995, -9.5408916302213, -48.68029577252713, -48.87327106335168, -49.408173072561276, -49.27158408371882, -49.732688602810164, -48.27785423149187, -99.5725636549356, -61.41737722057472, -82.70947780142473, -98.49956361267228, -99.91179084121877, -99.99990803136286]"
"[1.0841611137195124, 1.0, 1.1230849333870394]","[3.207246047106552, 62.36237931595133, 18.63531810319596]","[-6.792753952893448, -5.260523132161071, -5.500740864563052, -5.474943115029086, -6.0673954286505065, -5.903999496302386, -5.774635519338146, -7.705818718145819, -8.272838055541644, -7.996714658534635, -9.367784916949805, -9.074595982286372, -8.474613214828745, -26.26999979940993, -35.995332716853824, -41.14345824719432, -44.92764864375815, -45.53384203654784, -35.313365149965506, -97.12995497744183, -57.73844907255837, -82.1031683466306, -98.46322428507243, -99.88473267829805, -99.99950811505836]"
"[3.2828721849435145, 1.7446216378828376, 3.513549252228737]","[8.54104307505509, 52.36768763485058, 0.8754560510198667]","[-1.4589569249449106, -5.942370548367978, -5.987159138833745, -6.02064110830572, -6.1891212931456865, -6.157791665454543, -6.050074150911474, -9.820719510564242, -9.73352626966146, -9.76560971655178, -9.892385267733243, -9.889716559065478, -9.719951149919082, -49.43603227327568, -49.15660668109708, -49.47860817889327, -49.68445172191358, -49.73607747959175, -49.098527703709145, -99.71756650541124, -61.58799837956381, -82.74689946015121, -98.50339232602022, -99.90823206809407, -99.99994542482092]"
"[1.7702248289996012, 1.0, 2.3373668851460714]","[5.107591714145673, 53.33987757863677, 4.082472445250902]","[-4.892408285854327, -5.6478128108528, -5.828996309633435, -5.84293880625488, -6.094630948401614, -6.078664388093347, -5.863560704884447, -9.380784921058572, -9.338126997401053, -9.285521858461761, -9.648562557610875, -9.672696193035863, -9.192402381524223, -47.35121921638939, -47.12750656206099, -48.771103084595026, -48.36442492546225, -49.38154081829937, -45.98325118261923, -99.29560020499564, -60.69165927652281, -82.5550839435836, -98.48720491795639, -99.9144177273262, -99.99984655795453]"
"[0.964157666901747, 1.0, 1.1002845113822033]","[3.06444217828395, 66.55393932018889, 22.21778507492134]","[-6.93555782171605, -5.093350046883508, -5.483414540725976, -5.373023158004429, -6.038713159226938, -5.861977459151882, -5.762354414167435, -7.30009994877819, -8.081640078632818, -7.549189284631559, -9.263880396950317, -8.873832298191433, -8.401724186548522, -20.527025759316388, -37.31612408500541, -43.40818274225117, -43.963162279098185, -46.67648090295364, -34.26364063316802, -96.15680467933836, -57.03842770978237, -82.0988969382117, -98.46358831939682, -99.87646814625452, -99.99944560928148]"
"[0.9536841208537983, 1.0070877253665536, 1.004914504100032]","[2.965686350320384, 68.10250327224813, 24.945443018039306]","[-7.034313649679616, -5.0890988684590495, -5.414202995686905, -5.348669617188734, -6.044503349997536, -5.846610484465218, -5.74334034243816, -7.032877021168652, -7.917429411001598, -7.452539296215601, -9.255666449754353, -8.825821313510168, -8.286884520075237, -15.81278270859039, -33.035141214486885, -39.65203012672674, -43.53499571677099, -44.750072748857946, -31.668179553389077, -95.93450065851961, -56.23162001717515, -81.9866897730046, -98.4560784801959, -99.86903955861796, -99.99939110096071]"
"[0.7643503956235558, 1.0, 1.0]","[2.7643503956235556, 81.58056782717769, 36.00104115310683]","[-7.235649604376444, -4.653020353822766, -5.308963904400748, -5.038821313036732, -5.966608610891273, -5.70834015091517, -5.72652990290927, -5.885667903672549, -7.202726704760606, -6.147182255970255, -8.976669769869126, -8.234348019411145, -8.175881829672186, -0.43808200309823064, -39.81904122075758, -37.87826341255976, -40.95502265751816, -44.46455536128779, -30.28243126864351, -91.47469801993861, -53.93472899303392, -81.94172283473264, -98.45444573072433, -99.84177526870593, -99.99924484760403]"
"[0.8080016368402374, 1.0, 1.0]","[2.8080016368402374, 77.02320679653967, 32.39538863825496]","[-7.191998363159763, -4.780481647594657, -5.37414975746236, -5.131493547956837, -5.989755610094504, -5.750876488592456, -5.73004921929072, -6.320284804302961, -7.449089235889047, -6.549528964007171, -9.058334734027056, -8.4175788879102, -8.199143930027985, -5.056646294245951, -37.564908396714, -39.51163577626295, -41.70253618243552, -45.212875349777406, -30.557677231422176, -92.98515818360848, -54.73057067069758, -81.97005624627947, -98.45678137951629, -99.85078988985924, -99.99928802796843]"
"[0.8881146182693205, 1.0016914741536214, 1.0]","[2.889806092422942, 71.20459048393752, 27.707748947912208]","[-7.110193907577058, -4.968769418760172, -5.402300410642118, -5.2673731009455755, -6.023431051029679, -5.813227567373906, -5.7364409407935835, -6.756271617337337, -7.757609724219967, -7.11290953184177, -9.177856665530584, -8.672904049847975, -8.241510046369351, -11.577637451018205, -34.4909039343257, -41.81668243901699, -42.79678228453375, -45.847060824895976, -31.05934057641821, -95.0143190155788, -55.71662499594492, -81.98251410460136, -98.45655825905918, -99.86251702793427, -99.99934962620934]"
"[2.3090219082079537, 1.0, 2.556798957060649]","[5.865820865268603, 54.33788270050977, 2.7684590789676]","[-4.134179134731397, -5.755638274428568, -5.823417220145717, -5.9004571172943505, -6.126852182661127, -6.0988351925215865, -5.895016658774649, -9.632415923020407, -9.371510287632901, -9.50805179116633, -9.738121209042504, -9.764976195117876, -9.312549556769007, -49.14712673476747, -47.15217775630449, -48.28508600300884, -48.89608662152813, -49.12804556738818, -46.89122394221195, -99.51206759843683, -59.99531457814563, -82.57055399395063, -98.48847594037237, -99.91075727773223, -99.99989537755347]"
"[1.7440744008221354, 1.0, 2.1410417838970486]","[4.885116184719184, 53.14044422889481, 4.612248862851925]","[-5.114883815280816, -5.643092660261569, -5.799031500335495, -5.834592796334693, -6.10168852657697, -6.0747016573775365, -5.866052137461035, -9.363096568886755, -9.261408336405074, -9.24559799052673, -9.64373024175541, -9.652206542173259, -9.150738112223351, -46.792502225269814, -46.40469838946731, -48.276359722454416, -48.234637740088075, -49.08503032468962, -45.44800673179059, -99.18221624225093, -60.64324388796466, -82.5092058137896, -98.48535781938135, -99.91303064976861, -99.99983164209706]"
"[1.6808084741969593, 1.0073590937354933, 1.8543252725037118]","[4.542492840436164, 53.18558613890572, 5.7982359551714096]","[-5.457507159563836, -5.628708969861458, -5.747892075925508, -5.793165127152214, -6.109854897165414, -6.050423063903773, -5.865235975104621, -9.279996724463487, -9.12017334638206, -9.147015195806816, -9.63084809861293, -9.603162469827813, -9.07227708710028, -45.38170114797929, -44.944901562972056, -47.032788200872105, -47.975721860872184, -48.48458985104993, -44.372425074022075, -98.9408321362387, -60.4736974095465, -82.43838406221336, -98.48246013089368, -99.91022476516761, -99.9997987814023]"
"[1.0729037593617141, 1.0, 1.0773761739124905]","[3.150279933274205, 63.06419299384643, 19.959061560457283]","[-6.849720066725795, -5.252632886394791, -5.470178212344121, -5.446617959112657, -6.068235321265318, -5.890260364351416, -5.765416727496728, -7.574315721516548, -8.148135166186643, -7.931367609767681, -9.35823692126394, -9.04281916447107, -8.418618291083467, -24.224060308951522, -34.26443509570939, -39.570065192817424, -44.7039133443148, -44.78026087569731, -34.17854412290406, -96.94007963602694, -57.3836365499822, -82.05658911171096, -98.46037237516418, -99.88162677295699, -99.99948195927861]"
"[1.0372833596886413, 1.0, 1.052198469268026]","[3.089481828956667, 64.32463661420908, 21.381446195323306]","[-6.910518171043333, -5.209980572601616, -5.452505343528198, -5.419528303655033, -6.0621140019696975, -5.878067563971066, -5.757957672004469, -7.420233485573501, -8.092935817441488, -7.803684182249, -9.329859605011988, -8.984832022847254, -8.37384208784284, -21.873327466879886, -33.673384385114105, -39.33871668608987, -44.36989829313168, -44.651743045991196, -33.35630903814713, -96.7674521259054, -57.07187949392515, -82.03248449169726, -98.45884611694487, -99.87833358885808, -99.99945513152373]"
"[1.0486125803412834, 1.0071088705475468, 1.0]","[3.0557214508888304, 64.84373734834207, 22.663244830277332]","[-6.94427854911117, -5.231716242869282, -5.412267027184236, -5.388694732426689, -6.068753408639699, -5.862553849709759, -5.747923766892153, -7.301050019879224, -7.892640795919178, -7.790493393466971, -9.339903747094686, -8.974909502635148, -8.318979521625268, -19.856759872694994, -30.867253024790017, -36.46649926248219, -44.277858590616404, -43.29469721708682, -31.97330957001105, -96.55883296296872, -56.633122052272675, -81.96886962929645, -98.45486995618742, -99.87492165243552, -99.99942936520048]"
"[3.0262671601988185, 1.5177815032715243, 4.027913717156793]","[8.571962380627136, 53.73334717857524, 0.8652636427825794]","[-1.4280376193728639, -5.902002488239817, -5.9987839673991745, -6.0275718285222935, -6.163249262610691, -6.16421700276442, -6.011411516044974, -9.78758230228818, -9.749508187626324, -9.756304758176668, -9.866320665009514, -9.887964989802285, -9.686256412296116, -49.59886479269066, -49.32857949450613, -49.72484832262305, -49.63096201287554, -49.848808740815294, -49.08350192557391, -99.75592145685692, -61.024362688798746, -82.77599478155217, -98.5037569057852, -99.91024876803391, -99.99994835747954]"
"[2.287822515271748, 1.1989641561404945, 3.0189581037756024]","[6.5057447751878446, 53.44969381983026, 1.9708717287527557]","[-3.4942552248121554, -5.784824783607173, -5.915327126234208, -5.944259359736899, -6.130043355552025, -6.125552579276324, -5.937559699983267, -9.62888154080935, -9.575564047010264, -9.57230667332896, -9.775229276845991, -9.803583467627089, -9.474953742448115, -48.9428287515781, -48.51051552030491, -49.39120531856227, -49.17997256569407, -49.66527147730542, -47.96455424474212, -99.5800285887434, -60.88740438817076, -82.68328670299036, -98.49644214625992, -99.91201003576427, -99.99990856644011]"
"[1.6637153639144375, 1.0352148149035603, 2.0793160129716948]","[4.778246191789693, 53.3789186614347, 4.982242133991921]","[-5.221753808210307, -5.616477894317367, -5.802546365094864, -5.8095180337165715, -6.100122981342432, -6.06331478713448, -5.872057488757991, -9.299674955869088, -9.257070161891, -9.178833599559548, -9.634807681314491, -9.622945816058076, -9.152653236551998, -46.01552930986256, -46.47738149708036, -48.44865902995431, -48.154575840584044, -49.16140282824816, -45.34470113595827, -99.0981425956567, -60.79287386856859, -82.51215848863549, -98.48617767770673, -99.91275939918386, -99.99981783689537]"
"[1.536527211156364, 1.0207023519269443, 1.574823529261317]","[4.132053092344625, 54.30652739676003, 7.971685111272692]","[-5.867946907655375, -5.577620022545538, -5.684612358594636, -5.717006193010914, -6.109785708866082, -6.014787744968081, -5.852416886477883, -8.97141412956147, -8.922439162446185, -8.950263026936021, -9.593869910995442, -9.51037086287378, -8.94982036544699, -42.413568155935536, -42.832686328586554, -45.3602795896304, -47.49427337641506, -47.66920647608575, -42.635886591456966, -98.55087100970638, -60.04855580996495, -82.35618600209816, -98.4785099411886, -99.9057413403989, -99.99974097390545]"
"[1.1856525399853854, 1.0, 1.1428925541528945]","[3.32854509413828, 59.99678577114791, 16.61136659756063]","[-6.6714549058617205, -5.367455875146014, -5.5094378015129175, -5.509489750237598, -6.085211061861511, -5.918350997628776, -5.78438982554238, -7.9567897162927945, -8.266245624115387, -8.247066905489618, -9.433111973130863, -9.184889661004847, -8.531245215155435, -29.783958719939562, -35.50397880142877, -39.899701931023756, -45.53538993304794, -44.98429443419043, -36.12396123764336, -97.32100961825499, -58.08451516695767, -82.10952481865985, -98.4639184170166, -99.8889919938791, -99.9995484541454]"
"[1.097831005363362, 1.0024795063269658, 1.1406871877196076]","[3.2409976994099354, 61.94935670617681, 17.97081303718693]","[-6.759002300590065, -5.274297058418595, -5.51179246534198, -5.487940155024004, -6.0691938694088226, -5.910052794536343, -5.779098442194685, -7.7738744801487965, -8.313239077963432, -8.046593563303572, -9.37906804722904, -9.09767145776171, -8.501810504416653, -27.283085629788673, -36.49906994057338, -41.50159770342336, -45.07676977552494, -45.71115008252424, -35.7853920951992, -97.21097688380522, -57.88173319396493, -82.11979558237212, -98.46423744051224, -99.88608541428053, -99.9995209583432]"
"[1.418901217170475, 1.0, 1.1933529437565258]","[3.6122541609270007, 56.74080760285548, 13.536628558827287]","[-6.387745839072999, -5.539841819978004, -5.528173335890345, -5.551975031998046, -6.112709267430514, -5.9363839050473715, -5.805349888647195, -8.358783368748984, -8.293746796922825, -8.52264846703606, -9.537155970820212, -9.288906541720147, -8.649488980730771, -35.277185839973484, -35.603656849771355, -38.84370566412606, -46.51383556947876, -44.5449106401463, -37.81869739527036, -97.65855110170953, -58.53880585476816, -82.13832390925467, -98.46704839074474, -99.89423776549417, -99.9996171718988]"
"[0.7670499631512906, 1.0, 1.0007981042783414]","[2.767848067429632, 81.26286435791557, 35.732595091599464]","[-7.232151932570368, -4.661331375913903, -5.313416485434056, -5.044995971548192, -5.968048882660794, -5.71119665561826, -5.726935612554729, -5.921917362426997, -7.220456000716128, -6.1745511964669735, -8.982088928189679, -8.24683013977322, -8.1785048498143, -0.7943775131578832, -39.711831583913494, -37.98854300008965, -41.009177781849644, -44.5153307485615, -30.32691382483354, -91.57592605385696, -53.99497076849548, -81.94528551082183, -98.45473928179813, -99.84245513010191, -99.99924817405049]"
"[0.8912135894830289, 1.002378460441267, 1.0]","[2.8935920499242958, 71.05736275814833, 27.557164938003787]","[-7.106407950075704, -4.974890834082551, -5.402868232718201, -5.271726008502865, -6.024570491077047, -5.8152193946305655, -5.736819486212513, -6.770221380890195, -7.766680567506588, -7.131006284151183, -9.182156482818113, -8.681133917623056, -8.244092665471571, -11.790232906550273, -34.40390680113424, -41.892882426711125, -42.83717132771153, -45.78336773671137, -31.089435841009493, -95.07486567201546, -55.73989742003183, -81.98272351795788, -98.45651620562612, -99.86282951804066, -99.99935172335049]"
"[1.123934493733705, 1.0, 1.1278006890875618]","[3.2517351828212666, 61.36112619249639, 17.829367348821812]","[-6.748264817178733, -5.3058362037831115, -5.502521890333687, -5.489061918448929, -6.075142880524455, -5.909733643106644, -5.778012390231183, -7.805829997560691, -8.265248506927735, -8.10396503218226, -9.39527787299695, -9.121903902639655, -8.494129616819885, -27.665394001225764, -35.63688958357716, -40.46897626911266, -45.17492119026369, -45.23098419665675, -35.57381870138492, -97.19900079196161, -57.87303391188286, -82.10233606432008, -98.46324366004023, -99.88646648524596, -99.99952365985826]"
"[1.1656265336184903, 1.0, 1.2922372355694547]","[3.457863769187945, 59.40712447165641, 14.259636441547926]","[-6.542136230812055, -5.332732630739723, -5.5927223956681456, -5.566122908136046, -6.071927486845044, -5.9502966445643395, -5.80278848140436, -8.178401954721107, -8.563018667863112, -8.295395116064263, -9.424640347743285, -9.214859594986967, -8.656838690213895, -33.04830686564776, -40.154878478529454, -44.50952700121245, -45.81476326924225, -47.1700576046436, -38.63017235120286, -97.73247857318859, -58.86848848816407, -82.23194836030471, -98.47088845384613, -99.89528967760766, -99.9995975396424]"
"[2.0187282550512613, 1.0, 2.6313719073079636]","[5.650100162359225, 54.07008564333803, 3.0102030033964997]","[-4.349899837640775, -5.710301513494375, -5.8470737991468384, -5.8998719214717905, -6.104272267389542, -6.104702769331992, -5.873414739956242, -9.522622832533031, -9.414679068707049, -9.447435768733673, -9.696582023118692, -9.745133332464091, -9.278760202539521, -48.642775225563405, -47.57079114701955, -48.935326578986306, -48.723064433450084, -49.423863356784736, -46.78239235826806, -99.45055856485618, -60.2934587402156, -82.60062369496823, -98.48896082424349, -99.91318284244402, -99.99988204613113]"
"[1.2799696961603377, 1.0, 1.0364987016537743]","[3.316468397814112, 59.82096208654464, 18.49165148667499]","[-6.683531602185888, -5.456032748138747, -5.4332991908830275, -5.445931596215575, -6.103869586115107, -5.886745545560684, -5.767753818987486, -7.819983195938519, -7.883549840426475, -8.126079148927259, -9.473263922629094, -9.100459019137006, -8.43887191187522, -27.845116822339833, -30.20801687651985, -34.20680448200494, -45.59091658888207, -42.308550143818906, -33.90067912721588, -96.9609864910687, -57.34801300265261, -81.9938056895232, -98.45819699762285, -99.88437345572031, -99.99951399047711]"
"[0.8256314478539912, 1.0, 1.0]","[2.8256314478539912, 75.48815609798363, 31.17880797483621]","[-7.174368552146008, -4.826556341194839, -5.3830853029571655, -5.164869115186462, -5.998044155990214, -5.766216070607509, -5.7314233675652675, -6.429590922247797, -7.531409077221575, -6.691004491271618, -9.087599509334881, -8.481838225535448, -8.208158691915115, -6.684479884982835, -36.780162677550834, -40.08697960915093, -41.96950983847691, -45.47613465907922, -30.66486902385823, -93.504985000047, -54.99594720832188, -81.97596027109611, -98.45705731394108, -99.85385608736296, -99.99930329994824]"
"[2.826411734408615, 1.4234323409937961, 2.861361936831537]","[7.111206012233948, 52.436930992964356, 1.5500910866354067]","[-2.888793987766052, -5.883491311499534, -5.916390310200819, -5.958565420984991, -6.172979246481292, -6.127863793010203, -6.00178765020289, -9.756175563604899, -9.594489022650752, -9.660754523648299, -9.84717517431674, -9.838703031504474, -9.587532648251115, -49.07683191114521, -48.39440903490549, -48.94233098037643, -49.454087258282655, -49.470160888311426, -48.376326201123135, -99.58538198500396, -61.25277593110236, -82.67718962520439, -98.49873660651078, -99.90861423697801, -99.99992150268332]"
"[1.4235977291041986, 1.0, 1.6831884664937633]","[4.106786195597961, 54.72773158170728, 7.994171716593977]","[-5.893213804402039, -5.5100253730743765, -5.722062474522828, -5.719477576281658, -6.088751401902981, -6.021720300745908, -5.842710342699222, -8.955560860413794, -9.001454945094332, -8.864964654086714, -9.549494916696373, -9.477869476814712, -8.946799993743811, -42.279968258195844, -44.36322570406409, -47.21063079678725, -47.30551285371016, -48.52885642517697, -42.98696418616397, -98.62744945131215, -60.3058147978173, -82.39774238690049, -98.47995326827032, -99.90895116899979, -99.99974006609816]"
"[1.5901764006716503, 1.0, 2.0612500601576413]","[4.651426460829292, 53.53670508382528, 5.45028573376649]","[-5.348573539170708, -5.583922120881672, -5.797858673264152, -5.787588013261523, -6.088716638218639, -6.053228504623959, -5.855522226555194, -9.232790094638203, -9.227986625940323, -9.10980177089845, -9.603131560647173, -9.592432910790308, -9.100621256948655, -45.63507662093025, -46.43153721687325, -48.32746511992541, -47.9577286270884, -49.23690429489243, -44.99246459059375, -99.05944970190161, -60.754145643722865, -82.50165695366607, -98.48494359087367, -99.91391410539201, -99.99980658680978]"
"[2.5626559596562197, 1.4336039553867295, 2.4085884929152375]","[6.404848407958187, 52.546082803275304, 2.1936042010651358]","[-3.5951515920418133, -5.857228776914568, -5.874759020789028, -5.9081922327414444, -6.172760410498184, -6.104396678608021, -5.992007738436306, -9.623651432197752, -9.495021152650459, -9.571977163996277, -9.829671307714964, -9.79665632314674, -9.526002153808427, -48.29354110364729, -47.69529140401582, -48.37285495713132, -49.30811971337725, -49.19358584531929, -47.824142005581045, -99.41006236371572, -61.23700626090814, -82.63238902582228, -98.49649000923809, -99.90666363479995, -99.99989560453538]"
"[0.7609490272875061, 1.0, 1.0]","[2.760949027287506, 81.98892890813758, 36.32251384743151]","[-7.239050972712494, -4.642212949187959, -5.3032988606051426, -5.030948008920522, -5.9646235856011804, -5.704709407533622, -5.7262513885629165, -5.838265283690865, -7.180714402041262, -6.112315480255858, -8.96969718592874, -8.218438855131923, -8.17406015592673, -0.03842467544555461, -40.01576606890748, -37.73641811726871, -40.890947973011635, -44.39986517732193, -30.260372359603856, -91.34160944046808, -53.86364373977804, -81.938539418376, -98.4541366462587, -99.84097549479691, -99.99924112033328]"
