X,F,G
"[3.2575577835500806, 1.5050460369325134, 4.223432870689223]","[8.986036691171817, 54.59473739306722, 0.755977749393985]","[-1.013963308828183, -5.919079042053122, -5.998810963214829, -6.045919555106702, -6.167146288335255, -6.172383463472995, -6.0139322648272735, -9.815927771421345, -9.756613034301903, -9.786347273141432, -9.875881818636838, -9.900852535573707, -9.700307586140424, -49.7457303864752, -49.352855684622, -49.70241070672284, -49.671577649000454, -49.84063901781077, -49.16266164471039, -99.78028861457565, -60.65047620592135, -82.78473298215562, -98.50392352965227, -99.90977441820428, -99.9999549351203]"
"[0.9735318505732107, 1.0009970875902152, 1.1113131027725571]","[3.085842040935983, 66.12586059280635, 21.664021361269924]","[-6.914157959064017, -5.106913129149987, -5.491279508296936, -5.384172470150926, -6.040552851812784, -5.867120301904443, -5.765214286451845, -7.355640896468774, -8.11496088372249, -7.595537535206473, -9.273849432263175, -8.895115226943979, -8.41959806855029, -21.39358393219692, -37.56836065819428, -43.577545113845346, -44.08861407847084, -46.73987328986172, -34.58569404537942, -96.27099444682815, -57.16097039318801, -82.10977467973933, -98.4642139004403, -99.87775709899918, -99.99945550140741]"
"[0.7848102311039178, 1.0, 1.0]","[2.7848102311039176, 79.2956358078773, 34.19674791116623]","[-7.215189768896082, -4.7153536808051895, -5.341281405987324, -5.084167841314703, -5.977960222271585, -5.729147139597397, -5.728213705219068, -6.156228663539814, -7.32623286414773, -6.3456679431115735, -9.016729302979718, -8.324784714608978, -8.18695039921772, -2.7153901320345994, -38.70289988242138, -38.68400388067105, -41.321902622903536, -44.83366137641121, -30.413229374708905, -92.22669735628166, -54.33445079790235, -81.95783944139603, -98.45588592813169, -99.8462792314802, -99.99926611312983]"
"[3.558281330422495, 1.4915340836335056, 3.764446652056124]","[8.814262066112125, 53.997280787045774, 0.8329124759062989]","[-1.185737933887875, -5.934117399320742, -5.9709703196825155, -6.021476765289409, -6.181724242809976, -6.157095622814451, -6.026355049499971, -9.84458619364204, -9.711206969147481, -9.778448829322326, -9.886085121208309, -9.893362478743338, -9.693445386715636, -49.76312513794913, -49.10518684530044, -49.43321676114374, -49.6766688522004, -49.71425899655002, -49.06289793290711, -99.77379712652534, -60.749889006814364, -82.74701113627276, -98.50230610905261, -99.90887482727062, -99.99995366732067]"
"[0.7986678383289736, 1.0, 1.0]","[2.7986678383289734, 77.90005214026247, 33.09137969098664]","[-7.201332161671027, -4.754944420617287, -5.361729554419694, -5.112940399187805, -5.9851503527314005, -5.742359799152246, -5.729326517875114, -6.25886079580831, -7.401672560152528, -6.469986460663085, -9.042070007123083, -8.381436888861646, -8.19422639368766, -4.143069399628985, -38.007726006322855, -39.18849524825151, -41.55356381014397, -45.065037100799714, -30.50001905738415, -92.69118977848072, -54.57814903749022, -81.96586108273686, -98.45650504324355, -99.84904328674796, -99.99927946990468]"
"[0.9967561010422499, 1.0, 1.1185403948859003]","[3.11529649592815, 65.12590787319476, 20.80882995853228]","[-6.88470350407185, -5.142542681219267, -5.497336188690465, -5.410769762473407, -6.046491691768045, -5.879332349111275, -5.767882786924243, -7.449779715455861, -8.16564248497933, -7.696506056713693, -9.295776706294273, -8.940738725023675, -8.435644387364926, -22.736505052207463, -37.341053905093545, -43.3193044261794, -44.29942345093238, -46.52081522708059, -34.84198815692711, -96.5919428373013, -57.34871891433521, -82.11290425397166, -98.46418360554561, -99.87986211836089, -99.99947003233981]"
"[2.1506491587470684, 1.2295196839401787, 2.6004323173950388]","[5.980601160082286, 52.83358523169387, 2.511245662492123]","[-4.019398839917714, -5.764524737369874, -5.885302232090011, -5.919234099429541, -6.136995685832726, -6.113838231228115, -5.94456366899931, -9.581299461632607, -9.503463557956794, -9.500575824644725, -9.765180244590903, -9.769372365444683, -9.435229452766738, -48.2498784956411, -47.99465019992283, -49.00215116488147, -49.04603340845182, -49.474308395735505, -47.51284083922869, -99.44981089565758, -61.145726822902546, -82.63368439122422, -98.49476136980749, -99.91094050722054, -99.9998877253126]"
"[0.9364120604358469, 1.0, 1.0]","[2.936412060435847, 68.6097332056401, 25.77514493547729]","[-7.063587939564153, -5.0617621198811165, -5.408945971901735, -5.3342678107345645, -6.039441124573167, -5.841065113663813, -5.739355528094945, -6.9577322908197665, -7.872250928343505, -7.368639811751322, -9.233896355377999, -8.787928653980854, -8.260921787171032, -14.60292070541334, -33.06495858634747, -39.95834785366927, -43.303722647852425, -44.88061796924754, -31.290951349778158, -95.7784327511864, -56.126929462865235, -81.9782402645769, -98.45569974144489, -99.86768088999355, -99.99937812946325]"
"[0.8739775794864499, 1.0, 1.0]","[2.87397757948645, 71.98228475375589, 28.40770297417492]","[-7.12602242051355, -4.939524467190939, -5.39935054008021, -5.2465072724332975, -6.018118924395152, -5.803662159015725, -5.735029232703626, -6.689970555705791, -7.7141216023971335, -7.027119583394137, -9.158472016111133, -8.634163031951934, -8.23201386592994, -10.575319073113434, -34.93035837836405, -41.45926668208417, -42.616753636892355, -46.10398034493344, -30.947803552789974, -94.71922275567266, -55.58974605911659, -81.98192352674499, -98.456755112509, -99.86090690319226, -99.99933994044493]"
"[0.8990853467485782, 1.0, 1.0]","[2.899085346748578, 70.49227616637262, 27.23965094782994]","[-7.100914653251422, -4.991558808415069, -5.404363980902675, -5.283932728986574, -6.027246376942933, -5.820819147849699, -5.736795259283795, -6.805802198301475, -7.787093547777599, -7.175645048834571, -9.190772817566437, -8.70124201174178, -8.243892975841435, -12.313681457382671, -34.11807013016269, -41.54383270952815, -42.910835203174486, -45.60361746349412, -31.088690087303135, -95.24819334514204, -55.83237522370033, -81.9813554243787, -98.45633671698448, -99.86390586482123, -99.99935638549567]"
