X,F,G
"[8.555697127294769, 6.638950932831515, 6.198186141581309, 7.482155993221044, 4.721889205356743]","[33.59687940028538, 134.28944420894354, 0.29232887222685]","[-16.40312059971462, -6.049023771821987, -6.076077733327627, -5.916847172400641, -5.85634957950176, -6.041299610072254, -5.443272504259861, -9.885142137385065, -9.935028183978416, -9.83341177531277, -9.83044632673952, -9.90843149151731, -9.559842468005513, -49.78004819606669, -49.9745772807278, -49.81426716754831, -49.930144952673224, -49.83909955486362, -49.23466678596778, -99.89874089978252, -55.601768706911955, -82.86064863415147, -98.47141452861548, -99.70977963839138, -99.9999504644032]"
"[7.76923854801418, 5.596484977413286, 4.995074682521063, 5.147383383546488, 4.922839572412016]","[28.431021163907033, 131.2342402742545, 0.4749634734174867]","[-21.568978836092967, -6.0608082640214205, -6.05139470626075, -5.884813389094842, -5.850683293114657, -5.981009728816695, -5.234648181442233, -9.886939362049478, -9.914045296607238, -9.75969468827285, -9.783097434855073, -9.85098582918493, -9.34025586450764, -49.775203068899245, -49.96185731362179, -49.66602367650039, -49.891569774893135, -49.733696177369936, -48.8115469534581, -99.86299352033949, -55.59977313602905, -82.8545864268782, -98.46955591424697, -99.70974902648037, -99.99992400375551]"
"[3.6784044571959993, 2.053655021454809, 1.84688931193146, 1.6063492298246553, 1.1087037100366213]","[10.294001730443545, 118.67489108294, 13.913151837177686]","[-39.70599826955645, -5.270380570454811, -5.7286386384773165, -5.356827553396379, -5.1714135690576715, -5.433326415779042, -3.513353537584995, -8.061334188552049, -9.39482154936411, -8.354830633987564, -8.322651565819374, -8.58375367793844, -3.8875250003129533, -35.19470158602934, -48.95479201842241, -41.88851559675291, -37.05345160591631, -38.859505059291635, -2.5330219372369456, -98.36845065784239, -54.35790638274014, -82.71199969966244, -98.40100206596793, -99.70561373382002, -99.99937132724355]"
"[5.778323858258022, 4.696234285505067, 6.283748022909071, 3.4167612247434507, 5.116537526465193]","[25.291604917880807, 154.61619953977367, 0.6926179823747239]","[-24.708395082119193, -6.046003320461646, -5.941606899562582, -5.820362200316718, -5.626281710410375, -6.010753372960494, -5.041387296508404, -9.89513667289598, -9.854498812560076, -9.689939668665195, -9.66277662312617, -9.853416490458656, -9.120078783870866, -49.788361999576495, -49.927948133625776, -49.509387391691114, -49.82108182565854, -49.72322263803821, -48.34154744088455, -99.726164533758, -53.5712741438376, -82.83667136207812, -98.45235689207348, -99.71340708016649, -99.9998987771434]"
"[7.5442356621051605, 5.34310797303853, 3.3285605300363477, 3.747888609807958, 2.5530850266792617]","[22.51687780166726, 116.97541704873355, 1.2909011765346508]","[-27.48312219833274, -5.84763801474466, -6.040508104133548, -5.836231429529913, -5.820935824436408, -5.852295455850393, -4.999448361624099, -9.623625814287452, -9.869645519915021, -9.635701808957554, -9.682828442319321, -9.693882529622794, -8.741923475656002, -48.713788770048744, -49.86807243042992, -49.21441419451777, -48.93824582445542, -48.97893642307184, -45.79284712404171, -99.68827266377464, -55.98657845620281, -82.84991791032454, -98.46866394521633, -99.69620701238739, -99.99986971266657]"
"[2.664292055515486, 1.4368793487447689, 2.376308734296938, 1.4091400253703532, 1.8147516294661354]","[9.701371793393681, 149.9584100942771, 12.34299934433507]","[-40.29862820660632, -5.674902150800066, -5.419916545836753, -5.038570289814579, -4.640268709483917, -5.508410017864077, -3.1521062535484248, -9.266377216383255, -9.021062060781357, -7.868456571105793, -7.721190769059901, -8.826970876849062, -4.084090582433664, -46.384980386304186, -48.71717163962487, -41.19080959286892, -46.78970553751066, -43.860676022748756, -19.51052153458577, -98.8176686935929, -51.86435840381649, -82.5733001710583, -98.28678998740455, -99.70428667089045, -99.9993018383261]"
"[7.666336890032607, 6.362438643567494, 9.22902197377382, 6.5705460823214015, 6.1641150335139]","[35.992458623209224, 164.50546193448704, 0.2451846312481617]","[-14.007541376790776, -6.102860003413978, -6.01788719698416, -5.896499228026049, -5.748825415419089, -6.10195510664183, -5.487375129891105, -9.925004360586897, -9.91831068264658, -9.843113291391369, -9.806549207748919, -9.943439097116286, -9.61102796356355, -49.878275431611314, -49.970634103397565, -49.84172030231783, -49.92825166983949, -49.91774418127325, -49.448065256204686, -99.84614905925963, -54.16446598536909, -82.85751973874935, -98.46262024144717, -99.7131703244622, -99.99995667879398]"
"[12.264571492934198, 8.00906869931171, 11.063495072452906, 7.3397399848967355, 8.715396179039484]","[47.39227142863503, 144.8728187973281, 0.10224623337841204]","[-2.607728571364973, -6.158688999081918, -6.115229261941905, -6.037128933024199, -5.963545933648761, -6.129520757752915, -5.660192493410092, -9.965879159400838, -9.961605902064036, -9.914108892390228, -9.909153081612669, -9.954292982933264, -9.761669456485839, -49.96258973451218, -49.98971013111323, -49.92817824890724, -49.97382508756376, -49.950975638957296, -49.74794464184421, -99.94677314464542, -54.411470668484355, -82.87027628185041, -98.47366064314703, -99.71763395426183, -99.99997265142906]"
"[3.009064269924633, 2.7566372568317985, 2.0053899840896823, 2.66900375831534, 2.057602754133758]","[12.49769802329521, 135.38314005704692, 5.659308951587235]","[-37.502301976704786, -5.741369087649106, -5.7392485050299165, -5.288760146935064, -5.225782053948365, -5.577669223718998, -3.8559083975771733, -9.317362055447983, -9.54722160259829, -8.71702738149364, -8.797768407783757, -9.279454472013075, -6.694750314821123, -46.70038438508526, -49.52224335806646, -46.17602585998145, -48.632598481846614, -47.14062304720689, -36.454468541016695, -99.01041745719802, -54.418153783237834, -82.69365245330897, -98.40158587607488, -99.69985685504341, -99.99962202359576]"
"[10.907128539294888, 9.51222094527046, 9.702757735072987, 7.632049080172303, 6.0337481800247925]","[43.78790447983543, 133.21463279599925, 0.13231498709668862]","[-6.212095520164567, -6.1006494735911625, -6.119744137176798, -6.046215957591573, -5.97138771460454, -6.120293972953202, -5.682057185122262, -9.93005286328227, -9.962521498456221, -9.913272811307065, -9.908488561686264, -9.94876467025765, -9.731705196715904, -49.894415230746574, -49.989714000604764, -49.91687183813734, -49.93903128728009, -49.924701640563114, -49.61704864088891, -99.94020127949322, -54.80760942774, -82.86915514241983, -98.47389355868874, -99.70541470052069, -99.9999714665482]"
"[5.614723152738963, 4.678339572005402, 2.582769615989568, 2.585431511317111, 1.460341173633175]","[16.921605025684222, 114.64473302202101, 4.150986522427065]","[-33.07839497431578, -5.503996306632853, -5.939901823032044, -5.726474424659497, -5.5914399887714, -5.709953837800866, -4.482730587347774, -8.908406572639365, -9.74675830112387, -9.38418077814997, -9.08970504536277, -9.393219644454444, -7.356398049887508, -43.87327631579103, -49.66871931982707, -47.92892118968834, -44.638709466775055, -46.34107803609347, -34.25364140978287, -99.06245270197738, -55.67587300613168, -82.82674484993825, -98.46031416939759, -99.68918533349498, -99.9997494566033]"
"[12.554213350831642, 8.379838858479225, 8.263345496443284, 6.0920188506301285, 6.159180039483442]","[41.44859659586772, 125.512847969244, 0.16508276159270457]","[-8.55140340413228, -6.104865061349734, -6.130768070753502, -6.04968210874958, -6.005764417887815, -6.089760159529254, -5.5974602139530765, -9.933953568057284, -9.960819429303116, -9.89851184911135, -9.911524315035946, -9.926830075737508, -9.664370596863128, -49.902415713668404, -49.98147377158947, -49.88792554328167, -49.91637309146954, -49.89198013617709, -49.51426150827246, -99.94846139281154, -55.00542515665708, -82.87019146693449, -98.47494586682109, -99.71157584320702, -99.99996264134812]"
"[10.052960620138476, 7.654132177506526, 8.78154666689932, 5.984933356095444, 5.910860754604228]","[38.384433575243996, 135.08721892464754, 0.19307928345591646]","[-11.615566424756004, -6.098016596385958, -6.095035836166838, -6.013922657771905, -5.927763982551191, -6.096290789391212, -5.570114830365696, -9.926627550869716, -9.949694597826104, -9.883584015531692, -9.880752597251815, -9.929744367011144, -9.639268017536832, -49.88469990694831, -49.984432047008006, -49.87078431375211, -49.92887840231482, -49.89215339706235, -49.45880568056415, -99.9278674036769, -54.44066142133529, -82.86629714709358, -98.47170808914433, -99.71207579846218, -99.99995999314693]"
"[4.090627879022912, 3.8018725327945506, 2.847417934562347, 2.0073450801353365, 3.098940898045057]","[15.846204324560205, 134.43040107211635, 2.9650554617279345]","[-34.153795675439795, -5.940180408450653, -5.865814228780507, -5.586470795123302, -5.537467127508273, -5.750560217327352, -4.19495872879376, -9.721410513804807, -9.700196009104168, -9.223133268656007, -9.377926990191387, -9.481059220170927, -7.518604431224422, -49.08335968466754, -49.45941718326054, -47.81812098532238, -49.16775540606574, -48.347070744132125, -42.19049445844185, -99.41826105810536, -54.46550428661356, -82.78559145271069, -98.44182913140466, -99.69707679799168, -99.99971916703622]"
"[12.385339327215288, 9.855987335853255, 9.222905897892517, 8.463445555226084, 6.774588682358411]","[46.70226679854555, 128.75619333218143, 0.10740107076004349]","[-3.2977332014544487, -6.120838697533948, -6.1400352121361985, -6.057577053064668, -6.014386064254417, -6.117737111185517, -5.70359567586917, -9.943840934217459, -9.968842903669628, -9.920509913780405, -9.922612988256544, -9.950987733798502, -9.763613056071266, -49.92368332429783, -49.991897608239505, -49.92991125217761, -49.95932766130924, -49.936730351119216, -49.69974433806079, -99.95269310636064, -55.38784507319368, -82.8707296358443, -98.47606834221072, -99.7075613378591, -99.99997454921329]"
"[12.257429203844874, 10.0155557607003, 9.236819653626608, 7.520722519137098, 5.957009505718258]","[44.98753664302714, 125.69414034287153, 0.12743509146836207]","[-5.012463356972859, -6.0978180869405225, -6.138682989422343, -6.066559288526541, -6.013980871547166, -6.1144368505229805, -5.689963539303282, -9.929442330999601, -9.967805236670873, -9.919011992427256, -9.922507154188139, -9.944800149317958, -9.73330312763883, -49.89386057928267, -49.99189242079972, -49.92022981892563, -49.92447179769899, -49.918085587850484, -49.61329488127555, -99.94083849287486, -55.10934156071973, -82.87091814100776, -98.47539923016755, -99.70552866715038, -99.99997166270306]"
"[7.521703639827308, 4.844392117943946, 3.657718821526224, 6.555130046911624, 3.5401663735941247]","[26.11911099980323, 133.35302678932345, 0.6852911506074206]","[-23.88088900019677, -5.969727580160433, -6.041367849660647, -5.738330299858493, -5.7455977172151265, -5.865477919682464, -5.042013935942136, -9.798168541080507, -9.904048168869497, -9.67934560326891, -9.720830045473809, -9.783409764128002, -9.202843656638237, -49.493020713254246, -49.94994114194145, -49.55034202727096, -49.84723869888763, -49.56146247955969, -48.23579818185733, -99.80911310045768, -55.903039256556596, -82.80762632479832, -98.46498052619634, -99.70883831531249, -99.99990052653442]"
"[4.210754419230714, 3.6752334361940573, 4.56919490472062, 2.4716584548128746, 3.4365878908818166]","[18.363429105840083, 150.2768458933751, 1.7858711255936215]","[-31.636570894159917, -5.954881245747133, -5.828918763198261, -5.680377008742733, -5.411455153506901, -5.90723747407753, -4.645439544108569, -9.770080122642018, -9.740328768491315, -9.44536122920568, -9.399719539465863, -9.721010601461405, -8.347724594794993, -49.32329173943438, -49.828368611853456, -48.74556522128073, -49.57037351615026, -49.22938503138451, -45.46280466542179, -99.50179789334237, -53.2495470539067, -82.79394618137214, -98.43304545866594, -99.71145960488296, -99.99981099102169]"
"[8.169828336462642, 8.47416614457269, 9.377959554276224, 7.149619465162452, 6.2760418737744805]","[39.44761537424849, 151.5905956501681, 0.1817273664753603]","[-10.552384625751507, -6.106863297175233, -6.061482294348043, -5.971371616266823, -5.845843324183349, -6.107758718080553, -5.587515523374025, -9.927739446140702, -9.94072386719889, -9.880042699196151, -9.856667798377133, -9.952225723736886, -9.678924619257218, -49.88559010053877, -49.9808557476087, -49.88401872131299, -49.95186066560262, -49.93223966494135, -49.55621167745318, -99.87496039312077, -54.434563721154205, -82.86189506854954, -98.46923968586152, -99.69723844867839, -99.99996535338894]"
"[2.587986070841549, 1.4227484638248782, 2.398222772906958, 2.0862698257110317, 1.982418326402295]","[10.47764545968671, 164.13632678787272, 10.483464359279488]","[-39.52235454031329, -5.732002551932211, -5.389699144495727, -4.802484626356804, -4.361964126979936, -5.528350337789912, -3.1869838538269017, -9.333103759580903, -8.96863464637267, -7.8854523717907785, -7.548644763025256, -9.0781130076044, -5.151333585035696, -46.814972539115494, -48.534691458379314, -42.98691559751653, -46.6615796177512, -45.95506317938195, -28.56478300792064, -98.80161894489794, -51.394150276668995, -82.56287255868111, -98.23450531396638, -99.6998637591846, -99.99938124030673]"
"[6.950649193334387, 8.677081298420221, 3.8705067250700878, 5.071455266745652, 4.333495453036004]","[28.90318793660635, 127.9980627697515, 0.5101978646607468]","[-21.09681206339365, -6.027594725972851, -6.061532108432897, -5.905985094131941, -5.889482662378517, -5.933159848544391, -5.244277603485763, -9.84793696645648, -9.91971462551826, -9.76461782535512, -9.819316746702022, -9.836210576497228, -9.301983580751903, -49.6507833566278, -49.94120030639406, -49.64988628393923, -49.804861918618904, -49.68213545842036, -48.6007168014591, -99.7940699639066, -56.10142213893051, -82.8539268087796, -98.47351146273722, -99.67141664739361, -99.9999245036356]"
"[2.709744700114339, 1.7504389412837198, 1.7605936351687745, 2.100066850371046, 1.9364343987650878]","[10.257278525702969, 141.81691488929613, 10.577292301864434]","[-39.74272147429703, -5.71374387094065, -5.583726041626759, -4.9743587956317, -4.852304506529419, -5.388491045338695, -3.080753872526228, -9.239028768579871, -9.231722308879005, -7.910911471657522, -8.005617682680331, -8.80069711023297, -4.874967535340982, -46.05778138913611, -48.96359022885389, -42.605618220496055, -47.130701140085186, -44.80435040209528, -26.796414027297832, -98.86618677053924, -52.97262098503842, -82.60322211133143, -98.33153401016868, -99.70733519563728, -99.99936838590541]"
"[10.351148657196966, 7.782648093309753, 8.12304372130032, 5.217929619917094, 5.165817127307774]","[36.64058721903191, 128.83801606859643, 0.2405177395078456]","[-13.359412780968093, -6.070161955008208, -6.1017666463752755, -6.025459324539821, -5.948162470140236, -6.079462261129895, -5.523444541772998, -9.906601649506563, -9.948841262846592, -9.877127109586715, -9.884362551945713, -9.912678389134555, -9.572358033907726, -49.83663496530248, -49.97587258705583, -49.8428957577893, -49.856091131527634, -49.846319959422374, -49.26745346081888, -99.92532821390971, -54.317107368995636, -82.86670752355211, -98.47289970034448, -99.70992782791717, -99.99995282914466]"
"[5.49505973563639, 4.475080237171086, 3.073766761377482, 3.1232709667639145, 1.520498638418971]","[17.687676339367844, 115.79061007291828, 3.2354655848189173]","[-32.31232366063216, -5.523341356700007, -5.969031547951175, -5.762222641889897, -5.593026431217356, -5.794447858949936, -4.660872797346137, -9.015013864223064, -9.816460728639417, -9.488428428125577, -9.217361268470489, -9.522182329628134, -7.875367332446528, -44.843182950605495, -49.84593963331985, -48.487665104638914, -45.861513396777724, -47.210161957698304, -37.748771054703894, -99.13531590340749, -55.6138592709499, -82.82608766296664, -98.45762237315981, -99.69711830785764, -99.99980715854792]"
"[12.185836288977294, 6.9328225002840025, 7.024165798272149, 7.588457728403287, 4.378098069903797]","[38.10938038584053, 124.21786319333847, 0.22978666477617227]","[-11.890619614159469, -6.025501830604323, -6.1198966737643135, -5.998685353386426, -5.9498986754131336, -6.057604414166965, -5.567311488003866, -9.876562303156813, -9.95670082443003, -9.878462098161588, -9.887002081898261, -9.911874653863213, -9.623243914807999, -49.76440961120097, -49.986161617851565, -49.86372226027556, -49.84638959030375, -49.831407420242115, -49.27720819188472, -99.89243070420189, -55.742495048792115, -82.86850310983569, -98.474456268095, -99.71529079875238, -99.99995950863827]"
"[6.934439442710529, 5.395835988165777, 3.0396913488166977, 3.1948450072117396, 1.132344858749129]","[19.69715664565387, 113.6386929532634, 4.579129557903519]","[-30.30284335434613, -5.191654421336215, -6.002417869825176, -5.810478172286778, -5.471538809895604, -5.774124956212719, -4.4274873485115425, -8.320118728786593, -9.82268127750869, -9.554076702683655, -8.671803228550736, -9.323199332620023, -7.017356831051023, -39.19919846933948, -49.5095463171011, -48.41318026889098, -41.21555539416855, -45.137879985482556, -28.74941037420198, -98.49717970064617, -56.02993561761165, -82.84404719303352, -98.4701669566701, -99.69467959909963, -99.9997887140602]"
"[3.013713432422488, 2.7508808093818438, 2.0319472524486706, 2.676638948741374, 2.053681418807591]","[12.526861861801967, 135.4617525615465, 5.609039540259306]","[-37.47313813819803, -5.740846212944011, -5.738449709681454, -5.292307489873014, -5.221869497120015, -5.585267423726552, -3.8722011490401185, -9.317859800024047, -9.54689544947725, -8.728155330483892, -8.799406255257228, -9.291142540278448, -6.721426243725874, -46.706425647603986, -49.52274417164264, -46.21930075547808, -48.64010930070982, -47.17567758291142, -36.54916971404615, -99.02217570158795, -54.403159959134896, -82.6942346864931, -98.4013570948677, -99.70040238530753, -99.99962573603564]"
"[6.484477167385315, 5.159019381693196, 6.624716059758151, 3.895599973454062, 4.327290697680042]","[26.491103279970766, 143.84624026941185, 0.5871891974912724]","[-23.508896720029234, -6.0316724355768265, -5.982805702481695, -5.874013592986323, -5.707623744226508, -6.025128461958195, -5.22942091321565, -9.860909622560872, -9.882908933074779, -9.748970708649583, -9.726197367888998, -9.862836941464913, -9.237291833627694, -49.694269272383785, -49.9469227777481, -49.60165797387076, -49.8355118918504, -49.70819559254772, -48.410204840262246, -99.8114915190588, -53.741066066810575, -82.84588842879315, -98.45889243480708, -99.71299066618462, -99.999914230608]"
"[12.55126362392039, 9.971741289332892, 9.721967667491644, 8.533346080408265, 7.024345194508237]","[47.80266385566143, 130.16316020161554, 0.09958840688156695]","[-2.1973361443385713, -6.126728379000067, -6.140583824895342, -6.062344212435974, -6.015052536699056, -6.1246158200444265, -5.717847300349937, -9.947669462217888, -9.969582770927389, -9.924249677177514, -9.924917147253334, -9.954145974341566, -9.774894757046795, -49.93116868643856, -49.992248249465895, -49.934817631709464, -49.96390957363226, -49.94257712506988, -49.72316469890589, -99.954580300462, -55.25080714954328, -82.87098554616486, -98.4759505470426, -99.70837896669366, -99.99997565425055]"
"[11.929115292094053, 10.56840307486574, 11.494538069849964, 7.6953450813130795, 6.975071898531016]","[48.66247341665385, 136.55343302216613, 0.09671249084296546]","[-1.337526583346147, -6.125891616419622, -6.130577899324804, -6.0732376221927185, -5.991390130550208, -6.13984954586087, -5.73424467469168, -9.947175728046766, -9.968513159042615, -9.929983100575692, -9.925049162467225, -9.95867725764593, -9.776796670325808, -49.92997793045977, -49.992389574724854, -49.93791428461375, -49.95584015134702, -49.94665967085951, -49.71990977902007, -99.94973558155013, -54.300594617649665, -82.87104696767791, -98.47479059675705, -99.70513553939075, -99.99997578143528]"
"[7.311572146739205, 5.469324587103654, 6.2104456449911, 4.061735205235292, 3.8326358653437937]","[26.885713449413043, 132.39403666155908, 0.5852195228732779]","[-23.114286550586957, -5.996108778938078, -6.023149546169874, -5.915517162657573, -5.794775698143814, -6.014872034983443, -5.272331635621414, -9.829446770962875, -9.901740796846783, -9.77083774201159, -9.76983368862314, -9.849320694103294, -9.242326562089698, -49.59695875529226, -49.95832634912089, -49.61911340181349, -49.696093592817505, -49.64466859857281, -48.260690036062854, -99.86006919451633, -54.19549749582417, -82.85231576138595, -98.46420793721997, -99.71225944753235, -99.99991681956806]"
"[11.621079508698974, 9.896047766870456, 8.88869406982641, 8.550955256675623, 6.839932967863842]","[45.7967095699353, 130.54468236197886, 0.11253020229622884]","[-4.203290430064698, -6.122501862938869, -6.134243442166255, -6.046886192854118, -6.002854932995248, -6.114545192227482, -5.686806527689855, -9.943669182001821, -9.9668401618636, -9.915858567880923, -9.916904152485273, -9.9509077990193, -9.757471066794617, -49.92277503538566, -49.99103408432119, -49.926149078034534, -49.96541606327918, -49.9374037432291, -49.695525108927164, -99.94442507230202, -55.45260909465293, -82.86938979427977, -98.47602040910908, -99.70461238533677, -99.99997383279155]"
"[2.474666602752916, 2.517283919237026, 2.0912079067018015, 2.351528749967039, 1.2624772339473322]","[10.697164412606114, 135.51605842874426, 9.692611168187126]","[-39.302835587393886, -5.399467181151671, -5.614985347357492, -5.221208961083317, -4.941861911890702, -5.582234790504091, -3.7953161945134517, -8.463078872221498, -9.375495626092459, -8.500271236579346, -8.373974714644671, -9.173605617787217, -5.6290000665047835, -39.48932760416784, -49.24240666091103, -44.46427724163166, -44.74315170910761, -44.338095494886545, -21.223938306160598, -98.63211052193137, -53.69411874768893, -82.6074853867519, -98.36742706386218, -99.7006478200346, -99.99956435146048]"
"[6.775353481252187, 5.808553727170477, 2.815430191312116, 3.917966823690963, 1.7125379957000169]","[21.02984221912576, 116.8716670944748, 2.1537041510994364]","[-28.97015778087424, -5.60634494883721, -6.029195025542562, -5.792418697633876, -5.725705539686132, -5.790278197488257, -4.839804152084572, -9.225930309750494, -9.856491756709866, -9.587588806513553, -9.392955162077829, -9.608903462197299, -8.381673789685703, -46.429950959887606, -49.88107864765058, -48.97924462016801, -47.19852923040584, -48.045523435338076, -41.77055930444033, -99.32197232814484, -56.173089904326424, -82.84527091105265, -98.46855272925154, -99.68570560949563, -99.99984940569745]"
"[7.784561764190604, 5.950436981564798, 7.248960397029061, 6.35267209051985, 5.236509369050644]","[32.573140602354954, 144.7984807451135, 0.31394931222492384]","[-17.426859397645046, -6.073363301850429, -6.0375098224645365, -5.898883504531205, -5.791399027158734, -6.064869976961337, -5.42366409642674, -9.902286908195485, -9.917937680999186, -9.820508554266203, -9.799106977528005, -9.915909076913001, -9.533619174129365, -49.82238339883859, -49.967125877349105, -49.794660031777646, -49.91600123009021, -49.85913603298296, -49.236996049401355, -99.87421330484773, -54.79533411844849, -82.85679301696953, -98.4663510681619, -99.71410096969291, -99.99994749556511]"
"[8.308167215904831, 6.257732881620861, 5.22512313351843, 6.353554555570822, 6.102737872282109]","[32.24731565889705, 136.95234440585094, 0.33478459926967097]","[-17.75268434110295, -6.100710217551171, -6.07224219228682, -5.88311429732126, -5.873650738672222, -5.999278727670688, -5.278087838372434, -9.919703497475396, -9.929303178852944, -9.795241046482955, -9.814922172347405, -9.878568075787665, -9.479430698365624, -49.86394164310641, -49.97059077973817, -49.763671709713144, -49.91572166622311, -49.83055897300278, -49.24284254997856, -99.86962081819398, -55.80939329170067, -82.8586326802766, -98.4720048325315, -99.7081031513287, -99.9999378831239]"
"[4.331776208583339, 2.350811927103683, 2.0368972654563975, 1.8819550684428028, 1.0429720542757264]","[11.644412523861948, 117.02130999592201, 11.569446144276274]","[-38.355587476138055, -5.184923809966254, -5.807203731272334, -5.468344915181346, -5.239844980171772, -5.515944503713235, -3.7594143002954854, -7.8817705649650875, -9.538117776666402, -8.722997380103127, -8.26642879757325, -8.79884320870125, -4.8230167236730095, -33.574854682490184, -49.30197060508347, -44.09594953498848, -36.10441099618345, -39.90991224857456, -6.8939985510648185, -98.16453850906927, -54.9407949099169, -82.75826686668776, -98.42258233961414, -99.70567504025036, -99.99950554994751]"
"[7.478987191228089, 7.128261980242659, 8.819595894946643, 6.041543561138118, 6.184974364354755]","[35.65336299191027, 156.12376373997085, 0.24636537502187114]","[-14.34663700808973, -6.094251075764655, -6.030286261307586, -5.930138720446692, -5.785361370737027, -6.0936412478517585, -5.48795799225664, -9.9236769984514, -9.924009291299209, -9.84816922376154, -9.818931461801157, -9.940822568175765, -9.598843361669847, -49.873727549332116, -49.97277538104538, -49.838347503890034, -49.93243196089864, -49.91353453215681, -49.42142428982729, -99.84408346658294, -54.163471060142314, -82.85739482008178, -98.46526105474175, -99.70453230131547, -99.99995559019578]"
"[2.8415305474115593, 2.6415079664639878, 2.108989517837962, 1.6953582079124085, 1.1610533034606494]","[10.448439543086566, 123.34783251952172, 11.830531578167422]","[-39.551560456913435, -5.321356526870106, -5.684747135236183, -5.4121467722281995, -5.140686413937064, -5.539736622934993, -3.700727093200685, -8.205833688530763, -9.43066360948698, -8.571956728202144, -8.475440374910068, -8.88701513971645, -4.641638089314085, -36.710996156094694, -49.30935472990037, -43.371882208437896, -39.284689990321525, -41.486474538886426, -10.21682564172864, -98.47014344314147, -53.859987841947415, -82.66829518861486, -98.39826385248631, -99.6987033924402, -99.9994592933024]"
"[8.52576100155648, 9.490994943206548, 3.990292267867472, 5.427859817458446, 4.067772695051428]","[31.50268072514037, 123.1364764196638, 0.43826726239594227]","[-18.49731927485963, -6.012441178937469, -6.094665196264404, -5.939664197748279, -5.9639366150068405, -5.944508926473251, -5.338051325306248, -9.84014856304535, -9.929448482865702, -9.80185898178788, -9.861081740840318, -9.84506769606722, -9.375020904662058, -49.63235751043702, -49.94186313912503, -49.712797370231044, -49.73393903039539, -49.683379595012944, -48.68832751851694, -99.84918905366357, -56.19891996876033, -82.86206534478752, -98.47588029717379, -99.67453014999033, -99.99993308031418]"
"[13.590939800687694, 8.447219898837881, 6.171131368496376, 7.357183687774709, 3.984727467345828]","[39.55120222314249, 117.20321806477467, 0.2472333347436016]","[-10.44879777685751, -5.9988472843394565, -6.144139194223303, -6.024059152849803, -5.996692687188735, -6.044956255773469, -5.564140819166003, -9.85214574163365, -9.962646483262724, -9.88548525528565, -9.884603536763299, -9.90332401208996, -9.602709137129569, -49.69321804029971, -49.986776778760465, -49.86251232999674, -49.765877436526395, -49.79619256132112, -49.152513885459086, -99.87248939401067, -56.146168897018306, -82.86791048002256, -98.4764221841966, -99.7049323144194, -99.99995966013145]"
"[10.332469794340842, 9.164869820038113, 11.020664821731378, 7.566314337739303, 7.496500608993172]","[45.580819382842805, 146.60097713799425, 0.1144641052016821]","[-4.4191806171571955, -6.137242621881232, -6.101763550090687, -6.028870076126179, -5.9309115583947, -6.1344291138292, -5.678505446928351, -9.95124159422975, -9.958320031377493, -9.912489174529684, -9.900413514467658, -9.959000393126276, -9.754547061521826, -49.9362725977233, -49.988558714635154, -49.92418299177111, -49.97113775730377, -49.95047073316783, -49.70954907159317, -99.924963115279, -54.31285492845505, -82.86824537336452, -98.47246405373114, -99.70716984464693, -99.9999728487233]"
"[2.6729359999934177, 3.023331475534902, 1.8277629490899654, 1.4094773702771264, 1.519103372138435]","[10.452611167033847, 126.64772390160057, 11.22268860637218]","[-39.54738883296615, -5.566193294423351, -5.668033313695391, -5.397018956821309, -5.196049660468885, -5.450803985235052, -3.454170686777916, -8.865104887270675, -9.333437292271794, -8.391481996831324, -8.656305100853226, -8.809855753602747, -4.291053183486591, -42.878051831114064, -47.9985065882423, -42.46108929110583, -43.09625990142383, -42.80868310055014, -16.212282235591793, -98.72985881234878, -53.7802991757286, -82.65090716341672, -98.40324214860581, -99.6855732117866, -99.99937045796469]"
"[4.828906639173092, 2.704271784813496, 5.2585845446437025, 2.66942261857869, 3.232459453105672]","[18.693645040314653, 164.37396175067383, 1.7563692493842535]","[-31.306354959685347, -5.942283772824709, -5.779586506565751, -5.593600576219487, -5.30798037586581, -5.9123685399007755, -4.726296213328577, -9.766782495724385, -9.70915665863937, -9.433263944867715, -9.334182127858668, -9.714170079935828, -8.42729703965701, -49.352443587175514, -49.807271258925354, -48.78515174590793, -49.53575070329001, -49.17411132820169, -45.548742662056775, -99.61782869555545, -53.03274564185216, -82.80198728774806, -98.4152001025706, -99.71399769867568, -99.99981746752354]"
"[4.646656193693757, 3.019526310887117, 3.0512535815062076, 2.858614546194204, 3.180652742879228]","[16.756703375160512, 135.65536515610424, 2.3520210636067844]","[-33.24329662483949, -5.941562660738164, -5.874108892006103, -5.579900386671175, -5.519908532731468, -5.770307330322954, -4.417105700969291, -9.730349625289108, -9.735061840153879, -9.276496965775163, -9.340773783950723, -9.557332112803786, -8.0421629474134, -49.160891212097404, -49.79613728950545, -48.30640644357171, -49.43180837258201, -48.73205331398251, -44.35030680600491, -99.61946326029822, -54.89249271585051, -82.7957759899533, -98.43907246576646, -99.7127756486047, -99.99976950396167]"
